,ViralPair,Distance,Label
0,"A/Mississippi/1/1985,A/Victoria/7/1987",5.65842712474619,True
1,"A/Southafrica/1147/1996,A/Auckland/5/1996",1.0,False
2,"A/Anhui/1239/2005,A/Hiroshima/52/2005",1.0,False
3,"A/Hong_kong/1550/2002,A/Finland/170/2003",11.313708498984802,True
4,"A/Hong_kong/107/1971,A/Singapore/4/1975",19.595917942265398,True
5,"A/Wyoming/3/2003,A/Taiwan/1529/2003",1.41,False
6,"A/Leningrad/360/1986,A/Shanghai/11/1987",2.0,False
7,"A/Alaska/10/1995,A/Nanchang/933/1995",2.83,False
8,"A/Chile/6416/2001,A/Hong_kong/1550/2002",2.0,False
9,"A/Nanchang/933/1995,A/Fujian/47/1996",1.41,False
10,"A/Perth/16/2009,A/Victoria/210/2009",2.0,False
11,"A/Sydney/5/1997,A/New_york/55/2001",2.0,False
12,"A/Sichuan/2/1987,A/Sydney/1/1987",1.41210678118655,False
13,"A/Victoria/210/2009,A/Hong_kong/3969/2011",4.0,False
14,"A/Hong_kong/26560/2009,A/Philippines/2191/2009",1.4142135623731005,False
15,"A/Hong_kong/107/1971,A/England/864/1975",33.9411254969543,True
16,"A/Malaysia/753/2005,A/Brisbane/9/2006",1.0,False
17,"A/Mayoclinic/1/1975,A/Bangkok/2/1979",90.51,True
18,"A/Philippines/2/1982,A/Leningrad/360/1986",2.8292135623730896,False
19,"A/Tokyo/1/1975,A/England/864/1975",58.7859179422654,True
20,"A/California/7/2004,A/Hiroshima/52/2005",11.313708498984802,True
21,"A/England/42/1972,A/Bangkok/2/1979",135.764833995939,True
22,"A/Finland/486/2004,A/Victoria/500/2004",1.4142135623731005,False
23,"A/Texas/1/1977,A/Mississippi/1/1985",32.0,True
24,"A/Wisconsin/67/2005,A/Nepal/921/2006",1.70710678118655,False
25,"A/Hong_kong/34/1990,A/Beijing/32/1992",2.05855339059327,False
26,"A/Tokyo/1/1975,A/Allegheny_county/29/1976",39.5955627484771,True
27,"A/Victoria/3/1975,A/Victoria/112/1976",5.65842712474619,True
28,"A/Brisbane/10/2007,A/Brisbane/299/2011",8.0,True
29,"A/South_australia/3/2011,A/Brisbane/299/2011",1.0,False
30,"A/Moscow/10/1999,A/New_york/55/2001",2.4142135623730896,False
31,"A/Hong_kong/23/1992,A/Madrid/252/1993",22.6287084989848,True
32,"A/Panama/2007/1999,A/Wellington/1/2004",8.486854249492401,True
33,"A/Victoria/112/1976,A/Texas/1/1977",5.65685424949238,True
34,"A/Shanghai/11/1987,A/Wuhan/359/1995",22.627416997969494,True
35,"A/Guandong/39/1989,A/Beijing/353/1989",13.0639452948436,True
36,"A/Wellington/4/1985,A/Mississippi/1/1985",2.0,False
37,"A/New_york/55/2004,A/Lyon/636/2006",1.70710678118655,False
38,"A/Sichuan/2/1987,A/Shanghai/11/1987",2.8292135623730896,False
39,"A/England/42/1972,A/Wuhan/359/1995",22.627416997969494,True
40,"A/Sydney/5/1997,A/Panama/2007/1999",2.11921356237309,False
41,"A/England/427/1988,A/Shanghai/24/1990",11.313708498984802,True
42,"A/Hongkong/107/1971,A/Tokyo/1/1975",39.19,True
43,"A/Hong_kong/1/1968,A/Johannesburg/33/1994",22.627416997969494,True
44,"A/Mississippi/1/1985,A/Leningrad/360/1986",2.0,False
45,"A/England/42/1972,A/Johannesburg/33/1994",16.0,True
46,"A/Victoria/7/1987,A/Shanghai/11/1987",5.65842712474619,True
47,"A/Wellington/1/2004,A/Singapore/37/2004",2.4142135623730896,False
48,"A/Panama/2007/1999,A/Christchurch/28/2003",10.83,True
49,"A/Wyoming/3/2003,A/Kumamoto/102/2002",1.0,False
50,"A/Wisconsin/67/2005,A/Perth/16/2009",45.254833995938995,True
51,"A/Christchurch/28/2003,A/California/7/2004",2.82842712474619,False
52,"A/Stockholm/18/2011,A/Iowa/19/2010",2.0,False
53,"A/New_york/55/2004,A/Wisconsin/67/2005",2.82842712474619,False
54,"A/Tokyo/1/1975,A/Mayoclinic/1/1975",32.0,True
55,"A/Fujian/411/2002,A/Malaysia/753/2005",2.82842712474619,False
56,"A/Port_chalmers/1/1973,A/Netherlands/35/1993",5.65685424949238,True
57,"A/Wyoming/3/2003,A/Victoria/500/2004",5.65685424949238,True
58,"A/Panama/2007/1999,A/Victoria/110/2004",11.31,True
59,"A/Wellington/1/2004,A/Hiroshima/33/2006",4.0,False
60,"A/California/7/2004,A/Brisbane/3/2005",2.0,False
61,"A/Victoria/500/2004,A/Victoria/513/2004",2.0,False
62,"A/Wisconsin/15/2009,A/Hong_kong/26560/2009",1.4142135623731005,False
63,"A/Christchurch/4/1985,A/Wellington/4/1985",2.0,False
64,"A/Wellington/1/2004,A/Philippines/825/2003",1.41,False
65,"A/Philippines/2/1982,A/Caen/1/1984",4.828427124746192,True
66,"A/Kumamoto/102/2002,A/Louisiana/4/2003",2.0,False
67,"A/Victoria/3/1975,A/Johannesburg/33/1994",16.0,True
68,"A/California/7/2004,A/Brisbane/10/2007",2.4142135623730896,False
69,"A/Sydney/5/1997,A/Fujian/411/2002",16.0,True
70,"A/England/427/1988,A/England/261/1991",2.82842712474619,False
71,"A/Beijing/32/1992,A/Wuhan/359/1995",22.627416997969494,True
72,"A/Panama/2007/1999,A/Hong_kong/1550/2002",1.41210678118655,False
73,"A/Shanghai/11/1987,A/Sydney/1/1987",2.0,False
74,"A/Moscow/10/1999,A/Hong_kong/1550/2002",2.0,False
75,"A/Taiwan/1529/2003,A/Louisiana/4/2003",2.83,False
76,"A/Hong_kong/1/1968,A/Bangkok/1/1979",32.0,True
77,"A/Wuhan/359/1995,A/New_york/37/1996",1.0,False
78,"A/Malaysia/753/2005,A/Victoria/503/2006",1.4142135623731005,False
79,"A/Mississippi/1/1985,A/Sydney/5/1997",45.254833995938995,True
80,"A/Nanchang/933/1995,A/Southafrica/1147/1996",1.0,False
81,"A/Fujian/140/2000,A/New_york/55/2001",5.65842712474619,True
82,"A/Hong_kong/1952/2009,A/Hong_kong/26560/2009",1.4142135623731005,False
83,"A/Shanghai/11/1987,A/Guandong/39/1989",3.46410161513775,False
84,"A/California/7/2004,A/Brazil/1742/2005",2.82842712474619,False
85,"A/Shangdong/9/1993,A/Scotland/160/1993",4.0,False
86,"A/Wellington/1/2004,A/Nepal/921/2006",11.313708498984802,True
87,"A/Kumamoto/102/2002,A/Taiwan/1529/2003",1.41,False
88,"A/California/7/2004,A/Baden-wurttemburg/38/2005",1.4142135623731005,False
89,"A/Perth/16/2009,A/Hong_kong/3969/2011",2.82842712474619,False
90,"A/Nanchang/933/1995,A/Moscow/10/1999",16.9718542494924,True
91,"A/Panama/2007/1999,A/Shanghai/369/2003",8.0,True
92,"A/England/42/1972,A/Shanghai/31/1980",64.0,True
93,"A/Singapore/4/1975,A/Bangkok/2/1979",78.38367176906169,True
94,"A/New_york/55/2004,A/Hiroshima/52/2005",11.313708498984802,True
95,"A/Philippines/2/1982,A/Beijing/352/1989",22.627416997969494,True
96,"A/Belgium/2/1981,A/Caen/1/1984",11.313708498984802,True
97,"A/Shanghai/369/2003,A/Louisiana/4/2003",4.0,False
98,"A/Victoria/500/2004,A/California/7/2004",1.4142135623731005,False
99,"A/Mayoclinic/1/1975,A/Victoria/3/1975",9.24,True
100,"A/England/261/1991,A/Washington/15/1991",2.0,False
101,"A/Brisbane/10/2007,A/Hong_kong/3969/2011",8.0,True
102,"A/Iowa/19/2010,A/Finland/190/2011",2.0,False
103,"A/Iowa/19/2010,A/Norway/1789/2011",1.4142135623731005,False
104,"A/Hiroshima/52/2005,A/Wisconsin/67/2005",1.4142135623731005,False
105,"A/Wisconsin/67/2005,A/Hiroshima/33/2006",3.53553390593274,False
106,"A/Wellington/1/2004,A/Victoria/500/2004",3.53553390593274,False
107,"A/Sydney/5/1997,A/Fujian/140/2000",4.0,False
108,"A/Panama/2007/1999,A/Brisbane/3/2005",32.0,True
109,"A/New_york/55/2001,A/Finland/170/2003",8.0,True
110,"A/Hong_kong/1952/2009,A/Hong_kong/1985/2009",1.0,False
111,"A/Southafrica/1147/1996,A/Fujian/47/1996",2.83,False
112,"A/Victoria/3/1975,A/Philippines/2/1982",24.0,True
113,"A/Hiroshima/52/2005,A/Hiroshima/33/2006",2.0,False
114,"A/Mississippi/1/1985,A/Beijing/32/1992",22.627416997969494,True
115,"A/Port_chalmers/1/1973,A/Mayoclinic/1/1975",8.0,True
116,"A/Shangdong/9/1993,A/Scotland/142/1993",2.0,False
117,"A/Brazil/1742/2005,A/Wisconsin/67/2005",1.4142135623731005,False
118,"A/Wisconsin/67/2005,A/Kentucky/3/2006",1.4142135623731005,False
119,"A/Korea/770/2002,A/Wyoming/3/2003",1.20710678118655,False
120,"A/Moscow/10/1999,A/Chile/6416/2001",2.0,False
121,"A/Caen/1/1984,A/Mississippi/1/1985",2.82842712474619,False
122,"A/Johannesburg/33/1994,A/Sydney/5/1997",32.0,True
123,"A/Singapore/4/1975,A/Bangkok/1/1979",48.0,True
124,"A/Panama/2007/1999,A/Nepal/921/2006",90.50966799187808,True
125,"A/Victoria/208/2009,A/Alabama/5/2010",4.0,False
126,"A/Fujian/140/2000,A/Hong_kong/1550/2002",2.0,False
127,"A/Fujian/411/2002,A/Victoria/523/2004",5.65685424949238,True
128,"A/Wisconsin/15/2009,A/Niigata/403/2009",1.4142135623731005,False
129,"A/Wellington/1/2004,A/Victoria/503/2006",5.65685424949238,True
130,"A/Guizhou/54/1989,A/Guandong/39/1989",1.4142135623731005,False
131,"A/California/07/2004,A/Wisconsin/67/2005",4.0,False
132,"A/England/427/1988,A/Beijing/353/1989",5.65685424949238,True
133,"A/Brisbane/10/2007,A/Texas/37/2007",0.707106781186548,False
134,"A/Singapore/4/1975,A/Allegheny_county/29/1976",16.0,True
135,"A/Victoria/208/2009,A/Victoria/210/2009",1.4142135623731005,False
136,"A/California/7/2004,A/Victoria/503/2006",2.0,False
137,"A/Mississippi/1/1985,A/Johannesburg/33/1994",22.627416997969494,True
138,"A/Wellington/1/2004,A/Brisbane/10/2007",5.65685424949238,True
139,"A/Wyoming/3/2003,A/Louisiana/4/2003",1.0,False
140,"A/Philippines/825/2003,A/Victoria/110/2004",2.0,False
141,"A/South_australia/3/2011,A/Chiang_rai/277/2011",1.4142135623731005,False
142,"A/Panama/2007/1999,A/Texas/40/2003",4.24342712474619,True
143,"A/Hong_kong/23/1992,A/Scotland/160/1993",2.8292135623730896,False
144,"A/Kumamoto/102/2002,A/Texas/40/2003",1.0,False
145,"A/Brisbane/10/2007,A/Perth/10/2010",8.0,True
146,"A/Wyoming/3/2003,A/Wellington/1/2004",2.4142135623730896,False
147,"A/Oregon/4/1980,A/Shanghai/31/1980",4.0,False
148,"A/Victoria/3/1975,A/Shanghai/31/1980",45.254833995938995,True
149,"A/Wuhan/359/1995,A/Panama/2007/1999",22.627416997969494,True
150,"A/Shantou/1219/2004,A/Hiroshima/52/2005",8.0,True
151,"A/California/7/2004,A/New_york/55/2004",1.4142135623731005,False
152,"A/Hong_kong/1/1968,A/England/878/1969",2.9728528845145603,False
153,"A/Anhui/1238/2005,A/Hiroshima/52/2005",1.70710678118655,False
154,"A/Brisbane/10/2007,A/Uruguay/716/2007",1.20710678118655,False
155,"A/England/42/1972,A/Hong_kong/1774/1999",5.65685424949238,True
156,"A/England/42/1972,A/Mississippi/1/1985",22.627416997969494,True
157,"A/Sydney/5/1997,A/Moscow/10/1999",1.705,False
158,"A/Panama/2007/1999,A/Oklahoma/8/2004",5.65685424949238,True
159,"A/Allegheny_county/29/1976,A/Victoria/112/1976",8.34361463913159,True
160,"A/Wisconsin/3/2007,A/Brisbane/10/2007",1.0,False
161,"A/Hong_kong/34/1990,A/Hong_kong/1/1994",38.625,True
162,"A/Shangdong/9/1993,A/Madrid/252/1993",16.0,True
163,"A/Victoria/3/1975,A/Bangkok/2/1979",96.0,True
164,"A/California/7/2004,A/Hiroshima/33/2006",3.82842712474619,False
165,"A/Oregon/4/1980,A/Bangkok/2/1979",5.65685424949238,True
166,"A/Beijing/32/1992,A/Shangdong/9/1993",2.0,False
167,"A/Malasia/01/2004,A/Christchurch/28/2003",2.0,False
168,"A/Wyoming/3/2003,A/Shanghai/369/2003",2.83,False
169,"A/Port_chalmers/1/1973,A/Victoria/3/1975",16.0,True
170,"A/Victoria/512/2005,A/Victoria/503/2006",4.0,False
171,"A/Brazil/1742/2005,A/Hong_kong/2831/2005",4.0,False
172,"A/Mississippi/1/1985,A/Sichuan/2/1987",5.65842712474619,True
173,"A/Hong_kong/107/1971,A/Bangkok/1/1979",33.9411254969543,True
174,"A/Texas/1/1977,A/Beijing/352/1989",45.254833995938995,True
175,"A/Mississippi/1/1985,A/Shanghai/11/1987",5.8284271247462,True
176,"A/Wuhan/359/1995,A/Southafrica/1147/1996",2.0,False
177,"A/California/07/2004,A/New_york/55/2004",1.4142135623731005,False
178,"A/Panama/2007/1999,A/Taiwan/1529/2003",5.66,True
179,"A/Wisconsin/3/2007,A/Uruguay/716/2007",1.4142135623731005,False
180,"A/Victoria/208/2009,A/Hong_kong/3969/2011",2.82842712474619,False
181,"A/Fujian/411/2002,A/Philippines/825/2003",1.41,False
182,"A/Madrid/252/1993,A/Guangdong/25/1993",11.3118542494924,True
183,"A/Beijing/352/1989,A/Beijing/32/1992",22.627416997969494,True
184,"A/Oklahoma/8/2003,A/Wellington/1/2004",1.41,False
185,"A/Perth/16/2009,A/Stockholm/18/2011",5.65685424949238,True
186,"A/Hong_kong/1952/2009,A/Perth/16/2009",1.4142135623731005,False
187,"A/Brisbane/10/2007,A/South_australia/3/2011",8.0,True
188,"A/Wuhan/359/1995,A/Fujian/47/1996",1.41,False
189,"A/Hong_kong/1/1968,A/Shanghai/11/1987",22.627416997969494,True
190,"A/Kumamoto/102/2002,A/Korea/770/2002",1.0,False
191,"A/Wuhan/359/1995,A/Nanchang/933/1995",1.10355339059327,False
192,"A/Bangkok/1/1979,A/Philippines/2/1982",8.655,True
193,"A/Scotland/160/1993,A/Scotland/142/1993",4.0,False
194,"A/Victoria/3/1975,A/Shanghai/11/1987",16.0,True
195,"A/Bangkok/1/1979,A/Sydney/1/1987",32.0,True
196,"A/Moscow/10/1999,A/Panama/2007/1999",1.5,False
197,"A/Brazil/1742/2005,A/Hiroshima/52/2005",2.82842712474619,False
198,"A/Tokyo/1/1975,A/Texas/1/1977",90.50966799187808,True
199,"A/Uruguay/716/2007,A/Perth/15/2009",19.313708498984802,True
200,"A/Victoria/523/2004,A/Brisbane/3/2005",1.0,False
201,"A/Hongkong/107/1971,A/Victoria/3/1975",55.43,True
202,"A/Hiroshima/52/2005,A/Sendai/F131/2006",2.0,False
